userId,movieId,title,genres,similarity,date
1,117646,Dragonheart 2: A New Beginning (2000),Action|Adventure|Comedy|Drama|Fantasy|Thriller,79.62,2026-09-20 15:51:14
1,5657,Flashback (1990),Action|Adventure|Comedy|Crime|Drama,77.75,2026-09-20 15:51:14
1,6990,The Great Train Robbery (1978),Action|Adventure|Comedy|Crime|Drama,77.75,2026-09-20 15:51:14
1,55116,"Hunting Party, The (2007)",Action|Adventure|Comedy|Drama|Thriller,77.37,2026-09-20 15:51:14
1,4956,"Stunt Man, The (1980)",Action|Adventure|Comedy|Drama|Romance|Thriller,76.08,2026-09-20 15:51:14
1,6503,Charlie's Angels: Full Throttle (2003),Action|Adventure|Comedy|Crime|Thriller,75.66,2026-09-20 15:51:14
1,8968,After the Sunset (2004),Action|Adventure|Comedy|Crime|Thriller,75.66,2026-09-20 15:51:14
1,26184,"Diamond Arm, The (Brilliantovaya ruka) (1968)",Action|Adventure|Comedy|Crime|Thriller,75.66,2026-09-20 15:51:14
1,80219,Machete (2010),Action|Adventure|Comedy|Crime|Thriller,75.66,2026-09-20 15:51:14
1,60074,Hancock (2008),Action|Adventure|Comedy|Crime|Fantasy,75.51,2026-09-20 15:51:14
2,7007,"Last Boy Scout, The (1991)",Action|Comedy|Crime|Drama|Thriller,87.04,2026-09-22 00:38:25
2,145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,87.04,2026-09-22 00:38:25
2,5628,Wasabi (2001),Action|Comedy|Crime|Drama|Thriller,87.04,2026-09-22 00:38:25
2,1432,Metro (1997),Action|Comedy|Crime|Drama|Thriller,87.04,2026-09-22 00:38:25
2,5027,Another 48 Hrs. (1990),Action|Comedy|Crime|Drama|Thriller,87.04,2026-09-22 00:38:25
2,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,87.04,2026-09-22 00:38:25
2,4879,High Heels and Low Lifes (2001),Action|Comedy|Crime|Drama,82.27,2026-09-22 00:38:25
2,3716,Fatal Beauty (1987),Action|Comedy|Crime|Drama,82.27,2026-09-22 00:38:25
2,1473,Best Men (1997),Action|Comedy|Crime|Drama,82.27,2026-09-22 00:38:25
2,32460,Knockin' on Heaven's Door (1997),Action|Comedy|Crime|Drama,82.27,2026-09-22 00:38:25
